Brief Description,Road,Project Year,City/Location,Length (miles),Functional Class,Improvement Type,AreaTypeFuncClass,Comments,xConstructionYear,State,County,Internal Project ID,GEOID,Area TypeCounty,TollType,Segment ID,Segment Description,Year of Observation,xMonth of Observation,Count,Count Units,xSource,Station Identifier,State,Traffic Forecast,Forecast Units,Forecast Year,Forecast Year Type,Year Forecast Produced,Forecasting Agency,Forecast Methodology,Post-processing Methodology,Post-processing Explanation,Count State,Opening Year,Opening Year Actual Count,PE
SR 537 Resurfacing Project from SR 50 (M.P. 0.000) to SR 438 (M.P. 1.027).,SR 537,2008,Orange ,1.027,4,1,3,,2008,12,Orange ,422012-1,12127,3,1,1,from SR 50 (M.P. 0.000) to SR 438 (M.P. 1.027).,2008,April,15800,AADT,72 Hour Classification Count,750454,FL,16600,AADT,2010,1,2008,5,4,1,,12,2010,17700,-0.0663
"The SR 424 / 434 Resurfacing Project rom Edgewater Drive (M.P. 4.854) to Greenleaf Drive
(M.P. 6.576).",SR 424,2008,Orange ,1.722,3,1,3,,2008,12,Orange ,422011-1,12127,3,1,1,MP 4.854 to MP 6.576,2008,October,23500,AADT,72 Hour Classification Count,750593,FL,24900,AADT,2011,1,2008,5,5,1,Average of CFRPM IV and Trend analysis,12,2011,19500,0.2169
"The SR 438 Resurfacing Project from the SR 500 (M.P. 0.000) to East of Smith St/Coolidge St (M.P.
0.226)",SR 438,2007,Orange ,0.226,4,1,3,,2007,12,Orange ,422010-1,12127,3,1,1,MP 0 to MP .226,2007,October,14800,AADT,72 Hour Classification Count,755216,FL,15900,AADT,2010,1,2007,5,2,1,"Florida Statistical Abstract, medium growth rate for Orange County",12,2010,13500,0.1509
"The SR 438 Resurfacing Project from east of CR 435/Hiawassee Road (M.P. 4.901) to east of
Princeton Street (M.P. 7.346)",SR 438,2007,Orange ,2.445,4,1,3,,2007,12,Orange ,422009-1,12127,3,1,1,MP 4.901 to MO 7.346,2007,August,39700,AADT,72 Hour Classification Count,750607,FL,42100,AADT,2010,1,2007,5,1,1,,12,2010,36500,0.133
"The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",SR 438,2007,Orange ,1.459,4,1,3,,2007,12,Orange ,422008-1,12127,3,1,1,MP 0000 to MO 1.459,2007,August,16800,AADT,72 Hour Classification Count,750089,FL,18500,AADT,2010,1,2007,5,1,1,,12,2010,16500,0.1081
"SR 526 Resurfacing Project from SR 15/Mills Ave. (M.P. 0.000) to Pavement Change east of
Primrose Dr. (M.P. 1.039",SR 526,2007,Orange ,1.039,4,1,3,,2007,12,Orange ,422005-1,12127,3,1,1,MP 000 to MO 1.039,2007,January,14700,AADT,72 Hour Classification Count,755046,FL,15200,AADT,2010,1,2008,5,5,1,Average of CFRPM IV and Trencd Analysis,12,2010,14700,0.0329
"The SR 527 Resurfacing Project from Colonial Drive (M.P. 0.511 and M.P. 14.819) to Mills Avenue
(M.P. 17.387).",SR 527,2007,Orange ,16.876,3,1,3,,2007,12,Orange ,422004-1,12127,3,1,2,,2007,November,11300,AADT,72 Hour Classification Count,755035,FL,11600,AADT,2010,1,2007,5,5,1,,12,2010,8600,0.2586
"The SR 527 Resurfacing Project from Colonial Drive (M.P. 0.511 and M.P. 14.819) to Mills Avenue
(M.P. 17.387).",SR 527,2007,Orange ,16.876,3,1,3,,2007,12,Orange ,422004-1,12127,3,1,3,,2007,November,17100,AADT,72 Hour Classification Count,755039,FL,17600,AADT,2010,1,2007,5,5,1,,12,2010,17400,0.0114
"The SR 527 Resurfacing Project from Colonial Drive (M.P. 0.511 and M.P. 14.819) to Mills Avenue
(M.P. 17.387).",SR 527,2007,Orange ,16.876,3,1,3,,2007,12,Orange ,422004-1,12127,3,1,4,,2007,November,13300,AADT,72 Hour Classification Count,750436,FL,13700,AADT,2010,1,2007,5,5,1,,12,2010,15100,-0.1022
"The SR 500 Resurfacing Project from Dudley Avenue (M.P. 21.784) to the Lake County Line (M.P.
22.865)",SR 500,2007,Orange ,1.081,3,1,3,,2007,12,Orange ,422003-1,12127,3,1,1,"MP 21,784 to MP 22.865",2007,July,24600,AADT,72 Hour Classification Count,750642,FL,26000,AADT,2010,1,2007,5,1,1,,12,2010,25000,0.0385
"SR 500 Resurfacing Project from Shader Road (M.P.2.459) to Apopka City Limits
(M.P. 7.298)",SR 500,2007,Orange ,4.839,3,1,3,,2007,12,Orange ,422002-1,12127,3,1,1,,2007,October,43500,AADT,72 Hour Classification Count,750105,FL,45000,AADT,2010,1,2007,5,5,1,Conservative growth rate,12,2010,29500,0.3444
"SR 500 Resurfacing Project from Shader Road (M.P.2.459) to Apopka City Limits
(M.P. 7.298)",SR 500,2007,Orange ,4.839,3,1,3,,2007,12,Orange ,422002-1,12127,3,1,2,,2007,October,42000,AADT,72 Hour Classification Count,750480,FL,43500,AADT,2010,1,2007,5,5,1,,12,2010,26000,0.4023
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",SR 5 R,2007,Flagler,1.233,3,1,1,,2007,12,Flagler,422001-1,12035,3,1,1,MP 9.657 to MP 10.890,2007,August,13400,AADT,72 Hour Classification Count,735003,FL,15100,AADT,2010,1,2007,5,1,1,,12,2010,12900,0.1457
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",SR 507,2007,Brevard ,2.27,3,1,3,,2007,12,Brevard ,421991-1,12127,3,1,1,MP 0 to MO 2.270,2007,October,42800,AADT,72 Hour Classification Count,700345,FL,45000,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend Analysis,12,2010,28881,0.3582
SR 5 Resurfacing Project rom Rocky Point Road (M.P. 8.809) to SR 514 (M.P. 11.390,SR 5 R,2007,Brevard ,2.581,3,1,3,,2007,12,Brevard ,421990-1,12127,3,1,1,MP 8.809 to MO 11.390,2007,October,13700,AADT,72 Hour Classification Count,700114,FL,14200,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend Analysis,12,2010,14008,0.0135
"The SR 500 Resurfacing Project North East 136th Avenue (M.P. 0.502) to Marion County Line
(M.P. 1.016).",SR 500,2008,Sumter ,0.514,3,1,3,,2008,12,Sumter ,421989-1,12127,3,1,1,MP .502 to MO 1.016,2008,September,34700,AADT,72 Hour Classification Count,180209,FL,37300,AADT,2011,1,2008,5,1,1,,12,2011,36500,0.0214
"The SR 44 resurfacing project from West of I-75 (M.P. 7.987) to East of Parkwood Oaks/Village
Drive (M.P. 12.460).",SR 44 ,2009,Sumter ,4.473,3,1,1,,2009,12,Sumter ,421988-1,12127,3,1,1,MP 7.987 to MP 12.460,2009,March,13400,AADT,72 Hour Classification Count,180102,FL,14200,AADT,2011,1,2009,5,5,1,"based on knowledge of the project area, a review of past count data andconsideration of the trends and model analyses.",12,2011,14300,-0.007
"The SR 471 Resurfacing Project from SR 50/SR 471 intersection (M.P. 4.262) to north of CR 478A
(M.P. 8.384).",SR 471,2007,Sumter ,4.122,4,1,1,,2007,12,Sumter ,421986-1,12127,3,1,1,MP 4.262 to MP 8.384,2007,July,4100,AADT,72 Hour Classification Count,180061,FL,4250,AADT,2010,1,2007,5,4,1,,12,2010,4700,-0.1059
"The SR 25 Resurfacing Project Marquaz Road (M.P. 3.919) to the Highland Avenue (M.P.
15.082).",SR 25 ,2007,Lake ,11.17,3,1,1,,2007,12,Lake ,421981-1,12127,3,1,1,,2007,June,19500,AADT,72 Hour Classification Count,110425,FL,22100,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend,12,2010,24500,-0.1086
"The SR 25 Resurfacing Project Marquaz Road (M.P. 3.919) to the Highland Avenue (M.P.
15.082).",SR 25 ,2007,Lake ,11.17,3,1,1,,2007,12,Lake ,421981-1,12127,3,1,2,,2007,July,31000,AADT,72 Hour Classification Count,115047,FL,35100,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend,12,2010,25500,0.2735
"The SR 19 Resurfacing Project rom the CR 445 (M.P. 0.569) to the Marion/Lake County Line (M.P.
9.725) and to SR 40 (M.P. 0.225).",SR 19 ,2007,Lake ,9.5,4,1,1,,2007,12,Lake ,421979-1,12127,3,1,1,MP .569 to MP 9/725,2007,September,2600,AADT,72 Hour Classification Count,110365,FL,3000,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend,12,2010,2900,0.0333
The SR 40 Resurfacing Project from 3rd Street (M.P. 7.196) to Volusia County Line (M.P. 7.796).,SR 40 ,2007,Lake ,0.6,3,1,1,,2007,12,Lake ,421978-1,12127,3,1,1,MP 7.196 to MP 7.796,2007,September,6850,AADT,72 Hour Classification Count,110050,FL,7400,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend,12,2010,7100,0.0405
"The SR 46 Resurfacing Project from West of CR 46A (M.P. 11.200) to the Seminole County Line
(M.P. 13.710).",SR 46 ,2007,Lake ,2.51,3,1,1,,2007,12,Lake ,421977-1,12127,3,1,1,MP 11.2 to MP 13.710,2007,June,21900,AADT,72 Hour Classification Count,770074,FL,24300,AADT,2010,1,2007,5,1,1,,12,2010,19600,0.1934
"SR 19 Resurfacing Project from North of Little Lake Harris Bridge (M.P. 1.518) to North of CR
561 (M.P. 4.822)",SR 19 ,2008,Lake ,3.304,4,1,3,,2008,12,Lake ,421976-1,12127,3,1,1,MP 1.518 to MP 4.822,2008,September,13200,AADT,72 Hour Classification Count,110049,FL,14600,AADT,2011,1,2008,5,1,1,,12,2011,28000,-0.9178
"The SR 50 Resurfacing Project from SR 25/US 27 (M.P. 13.918) to 950’ west of Paloma Road
(M.P. 14.984)",SR 50 ,2008,Lake ,1.066,3,1,3,,2008,12,Lake ,421975-1,12127,3,1,1,,2008,March,35300,AADT,72 Hour Classification Count,110390,FL,37200,AADT,2010,1,2008,5,5,1,Average of CFRPM IV and Trend,12,2010,35000,0.0591
SR 33 Resurfacing Project from south of Wright St. (M.P. 13.715) to Bluff Lake Road (M.P. 16.260,SR 33 ,2008,Lake ,2.545,4,1,3,,2008,12,Lake ,421974-1,12127,3,1,1,,2008,june,23000,AADT,72 Hour Classification Count,110241,FL,25200,AADT,2011,1,2008,5,1,1,,12,2011,16100,0.3611
"The SR 5/ US 1 Resurfacing Project SR 400/Beville Rd. (M.P. 30.564) to Magnolia St. (M.P.
32.540).",SR 5/ ,2008,Volusia ,1.976,3,1,3,,2008,12,Volusia ,421621-1,12127,3,1,1,,2008,September,29900,AADT,72 Hour Classification Count,795066,FL,30800,AADT,2011,1,2008,5,5,1,,12,2011,28000,0.0909
"The SR 600 Resurfacing Project from 0.20 mile west of SR 415 (M.P. 15.440) to 0.05 mile west of
SR 483 (M.P. 18.660)",SR 600,2006,Volusia ,3.22,3,1,3,,2006,12,Volusia ,419595-1,12127,3,1,1,,2006,December,46100,AADT,72 Hour Classification Count,795172,FL,49000,AADT,2009,1,2006,5,5,1,Average of CFRPM IV and Trencd growth rate,12,2009,43500,0.1122
"The SR 600 Resurfacing Project from 0.20 mile west of SR 415 (M.P. 15.440) to 0.05 mile west of
SR 483 (M.P. 18.660)",SR 600,2006,Volusia ,3.22,3,1,3,,2006,12,Volusia ,419596-1,12127,3,1,2,,2006,December,47000,AADT,72 Hour Classification Count,795094,FL,50000,AADT,2009,1,2006,5,5,1,,12,2009,39000,0.22
"The SR 35 - Resurfacing Project from SR 91/Florida’s Turnpike (M.P. 21.496) to Marion County Line
(M.P. 30.255)",SR 35 ,2007,Sumter ,8.759,3,1,1,,2007,12,Sumter ,419593-1,12127,3,1,1,,2007,February,14200,AADT,72 Hour Classification Count,180006,FL,15700,AADT,2009,1,2007,5,1,1,,12,2009,12500,0.2038
"The SR 35 - Resurfacing Project from SR 91/Florida’s Turnpike (M.P. 21.496) to Marion County Line
(M.P. 30.255)",SR 35 ,2007,Sumter ,8.759,3,1,1,,2007,12,Sumter ,419593-1,12127,3,1,2,,2007,February,11200,AADT,72 Hour Classification Count,180100,FL,12400,AADT,2009,1,2007,5,1,1,,12,2009,13700,-0.1048
"The SR 5 Resurfacing Project from 158 ft South of Minnie Lane (M.P. 8.828) to the Volusia County
Line (M.P. 17.528).",SR 5 R,2007,Brevard ,8.7,3,1,3,,2007,12,Brevard ,419592-1,12127,3,1,2,,2007,June,2850,AADT,72 Hour Classification Count,700404,FL,2950,AADT,2009,1,2007,5,4,1,,12,2009,3000,-0.0169
The SR 25 Resurfacing Project from CR 33 (M.P. 0.000) to Sunshine Avenue (M.P. 4.150).,SR 25 ,2006,Lake ,4.15,3,1,3,,2006,12,Lake ,419591-1,12127,3,1,1,,2006,November,32600,AADT,72 Hour Classification Count,115120,FL,34900,AADT,2009,1,2006,5,4,1,,12,2009,29000,0.1691
The SR 25 Resurfacing Project from CR 33 (M.P. 0.000) to Sunshine Avenue (M.P. 4.150).,SR 25 ,2006,Lake ,4.15,3,1,3,,2006,12,Lake ,419591-1,12127,3,1,2,,2006,November,31700,AADT,72 Hour Classification Count,115116,FL,34000,AADT,2009,1,2006,5,4,1,,12,2009,37000,-0.0882
"The SR 44 Resurfacing Project from Lake County Line (M.P. 0.000) to Boundary
Ave (M.P. 4.113)",SR 44 ,2007,Volusia ,2.254,3,1,1,,2007,12,Volusia ,419589-1,12127,3,1,1,M.P. 0.000 to M.P. 2.254,2007,June,11600,AADT,72 Hour Classification Count,791007,FL,12900,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend Analysis Growth rate,12,2010,9400,0.2713
"The SR 44 Resurfacing Project from Lake County Line (M.P. 0.000) to Boundary
Ave (M.P. 4.113)",SR 44 ,2007,Volusia ,1.859,3,1,3,,2007,12,Volusia ,419597-1A,12127,3,1,2,M.P. 2.254 to M.P. 4.113,2007,August,12400,AADT,72 Hour Classification Count,790274,FL,13700,AADT,2010,1,2007,5,5,1,Average of CFRPM IV and Trend Analysis Growth rate,12,2010,12500,0.0876
"The SR 5 – Resurfacing Project from Woodland Avenue (M.P. 5.868) to the Flagler County Line (M.P.
12.803).",SR 5 –,2006,Volusia ,6.935,3,1,3,,2006,12,Volusia ,419588-1,12127,3,1,1,,2006,January,32600,AADT,72 Hour Classification Count,790100,FL,34200,AADT,2008,1,2006,5,1,1,,12,2008,29000,0.152
"The SR 5 – Resurfacing Project from Woodland Avenue (M.P. 5.868) to the Flagler County Line (M.P.
12.803).",SR 5 –,2006,Volusia ,6.935,3,1,3,,2006,12,Volusia ,419588-2,12127,3,1,2,,2007,February,18400,AADT,72 Hour Classification Count,791019,FL,20200,AADT,2008,1,2006,5,1,1,,12,2008,18200,0.099
"The SR 15 - Resurfacing Project from Anderson Street (M.P. 17.608) to CR 527/Orange Ave (M.P.
19.911)",SR 15 ,2006,Orange ,2.303,5,1,3,"Urban Collector, Major/minor not specified",2006,12,Orange ,419587-1,12127,3,1,1,,2006,November,17000,AADT,72 Hour Classification Count,755172,FL,18000,AADT,2009,1,2006,5,4,1,,12,2009,7600,0.5778
"The SR 15 - Resurfacing Project from Anderson Street (M.P. 17.608) to CR 527/Orange Ave (M.P.
19.911)",SR 15 ,2006,Orange ,2.303,5,1,3,,2006,12,Orange ,419587-2,12127,3,1,2,,2006,November,22100,AADT,72 Hour Classification Count,750551,FL,23500,AADT,2009,1,2006,5,4,1,,12,2009,16000,0.3191
"The SR 35 – Resurfacing Project from 200 feet south of Juniper Road (M.P. 3.910) to 0.350 mile south of
SR 464 (M.P. 5.100).",SR 35 ,2006,Marion ,1.2,4,1,3,,2006,12,Marion ,419586-1,12127,3,1,1,,2006,March,15000,AADT,72 Hour Classification Count,360469,FL,15900,AADT,2008,1,2006,5,1,1,,12,2008,19000,-0.195
"The SR 25 - Resurfacing Project from SR 200 (M.P. 0.000) to 512’ North of NW 28th Street (M.P.
2.606)",SR 25 ,2006,Marion ,2.606,3,1,3,,2006,12,Marion ,419585-1,12127,3,1,1,,2006,May,29600,AADT,72 Hour Classification Count,365022,FL,30500,AADT,2008,1,2006,5,5,1,Conservative growth rate of 1.5%,12,2008,28000,0.082
"The SR 25 - Resurfacing Project from SR 200 (M.P. 0.000) to 512’ North of NW 28th Street (M.P.
2.606)",SR 25 ,2006,Marion ,2.606,3,1,3,,2006,12,Marion ,419585-1,12127,3,1,2,,2006,May,23300,AADT,72 Hour Classification Count,365050,FL,24000,AADT,2008,1,2006,,,1,,12,2008,24000,0
The SR 45 Resurfacing Project from SW 108th Place (M.P. 1.650) to SR 40 (M.P. 4.792,SR 45 ,2006,Marion ,3.142,3,1,1,,2006,12,Marion ,419584-1,12127,3,1,1,,2006,December,15700,AADT,72 Hour Classification Count,360452,FL,16900,AADT,2009,1,2006,5,5,1,Average of CFRPM III and Trend Analysis,12,2009,18900,-0.1183
"The SR 19 – Resurfacing Project from NE 133rd Lane (M.P. 15.735) to Putnam County Line (M.P.
17.448)",SR 19 ,2006,Marion ,1.713,4,1,1,,2006,12,Marion ,419583-1,12127,3,1,1,,2006,February,4850,AADT,72 Hour Classification Count,361016,FL,5000,AADT,2008,1,2006,5,1,1,,12,2008,3200,0.36
The SR 414 Resurfacing Project from Lake Destiny Drive (M.P. 0.000) to SR 15/600 (M.P. 2.485,SR 414,2006,Seminole ,2.485,4,1,3,,2006,12,Seminole ,419582-1,12127,3,2,1,,2006,July,53100,AADT,72 Hour Classification Count,750578,FL,57500,AADT,2009,1,2006,5,1,1,,12,2009,54000,0.0609
The SR 414 Resurfacing Project from Lake Destiny Drive (M.P. 0.000) to SR 15/600 (M.P. 2.486,SR 414,2006,Seminole ,2.485,4,1,3,,2006,12,Seminole ,419582-1,12127,3,2,2,,2006,July,32500,AADT,72 Hour Classification Count,750579,FL,35100,AADT,2009,1,2006,5,1,1,,12,2009,30500,0.1311
"The SR 530 Resurfacing Project from Ramps @ SR 25 (M.P. 0.447) to the Orange County Line (M.P.
1.301).",SR 530,2006,Lake ,0.854,3,1,1,,2006,12,Lake ,419581-1,12127,3,1,1,,2006,May,44300,AADT,72 Hour Classification Count,110470,FL,47700,AADT,2008,1,2006,5,4,1,,12,2008,50000,-0.0482
"The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",SR 35 ,2006,Marion ,6.866,3,1,3,,2006,12,Marion ,419557-1,12127,3,1,1,,2006,February,11400,AADT,72 Hour Classification Count,361007,FL,12700,AADT,2008,1,2006,5,1,1,,12,2008,11600,0.0866
"The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",SR 35 ,2006,Marion ,6.866,3,1,3,,2006,12,Marion ,419557-1,12127,3,1,2,,2006,February,12200,AADT,72 Hour Classification Count,360043,FL,13600,AADT,2008,1,2006,5,1,1,,12,2008,12700,0.0662
The SR 19 Resurfacing Project from 127 ft North of CR 42 (M.P. 7.612) to CR 445 (M.P. 12.772).,SR 19 ,2006,Lake ,5.16,4,1,1,,2006,12,Lake ,419564-1,12127,3,1,1,MP 7.612 to MP 12.772,2006,October,6100,AADT,72 Hour Classification Count,110297,FL,7100,AADT,2009,1,2006,5,4,1,,12,2009,5300,0.2535
"The SR 528 – Resurfacing Project from 0. 4 Mi. West of Bridge #700110 (M.P. 5.912) to 0.158 Mi. East
of Bridge #700140 (EB ONLY) (M.P. 12.968).",SR 528,2006,Brevard ,7.056,3,1,3,,2006,12,Brevard ,419563-1,12127,3,2,1,,2006,may,27200,AADT,72 Hour Classification Count,700359,FL,28700,AADT,2008,1,2006,5,1,1,,12,2008,55500,-0.9338
"The SR 528 – Resurfacing Project from 0. 4 Mi. West of Bridge #700110 (M.P. 5.912) to 0.158 Mi. East
of Bridge #700140 (EB ONLY) (M.P. 12.968).",SR 528,2006,Brevard ,7.056,3,1,3,,2006,12,Brevard ,419563-1,12127,3,2,2,,2007,june,20100,AADT,72 Hour Classification Count,700360,FL,21200,AADT,2008,1,2006,5,1,1,,12,2008,40500,-0.9104
"The SR 528 – Resurfacing Project from 0. 4 Mi. West of Bridge #700110 (M.P. 5.912) to 0.158 Mi. East
of Bridge #700140 (EB ONLY) (M.P. 12.968).",SR 528,2006,Brevard ,7.056,3,1,3,,2006,12,Brevard ,419563-1,12127,3,2,3,,2008,july,18600,AADT,72 Hour Classification Count,700300,FL,19600,AADT,2008,1,2006,5,1,1,,12,2008,37000,-0.8878
"The SR 15 - Resurfacing Project from Tremont Street (M.P. 12.234) to 0.12 Mi South of Country
Boulevard (M.P. 13.700)",SR 15 ,2006,Osceola ,1.466,3,1,3,,2006,12,Osceola ,419562-1,12127,3,1,1,,2006,August,24600,AADT,72 Hour Classification Count,920100,FL,26700,AADT,2009,1,2006,5,1,1,,12,2009,32000,-0.1985
The SR 44B Resurfacing Project from SR 500(US 441) (M.P. 0.000) to US 1 (M.P. 2.110,SR 44B,2006,Lake ,2.11,3,1,3,,2006,12,Lake ,419561-1,12127,3,1,1,,2006,May,13500,AADT,72 Hour Classification Count,110246,FL,15500,AADT,2009,1,2006,5,1,1,,12,2009,11390,0.2652
The SR 44 Add Left Turn Lane(s) project on SR 44 at the intersection of Royal Trails Rd from M.P. 16.644 to M.P. 16.854,SR 44 ,2012,Lake ,0.21,3,4,1,,2012,12,Lake ,419370-1,12127,3,1,1,,2012,May,5100,AADT,72 Hour Classification Count,110010,FL,5300,AADT,2014,1,2012,5,1,1,Average of CFRPM 5 model and BEBR Popu. Estimate,12,2014,5600,-0.0566
"The SR 400 – Add Right Turn Lane(s) Project from I-4 Eastbound Off Ramps at Lake Mary Boulevard
(M.P. 8.330 to M.P. 8.340).",SR 400,2006,Seminole ,0.01,1,4,3,,2006,12,Seminole ,419367-1,12127,3,1,1,,2006,February,21700,AADT,72 Hour Classification Count,772009,FL,22700,AADT,2008,1,2006,5,5,1,Conservative growth rate,12,2008,8400,0.63
The SR 500 Add Turn Lanes Project from I-95 (M.P. 9.754) to Airport Boulevard (M.P. 14.770,SR 500,2005,Brevard ,5.016,3,4,3,,2005,12,Brevard ,418328-1,12127,3,1,1,,2005,June,29000,AADT,72 Hour Classification Count,700381,FL,32300,AADT,2010,1,2005,5,5,1,Average of CFRPM II model and Traffic Trend,12,2010,27500,0.1486
The SR 500 Add Turn Lanes Project from I-95 (M.P. 9.754) to Airport Boulevard (M.P. 14.771,SR 500,2005,Brevard ,5.016,3,4,3,,2005,12,Brevard ,418328-1,12127,3,1,2,,2005,June,33900,AADT,72 Hour Classification Count,700024,FL,37800,AADT,2010,1,2005,5,5,1,,12,2010,33000,0.127
The SR 500 Add Turn Lane(s) Project rom Vine St (M.P. 11.726) to Donegan Ave (M.P. 12.737,SR 500,2006,Osceola ,1.011,3,4,3,,2006,12,Osceola ,418321-1,12127,3,1,1,,2006,April,24700,AADT,72 Hour Classification Count,920135,FL,28300,AADT,2011,1,2006,5,1,1,,12,2011,28500,-0.0071
"The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.175",SR 40 ,2005,Flagler,0.186,3,2,1,Roundabout,2005,12,Flagler,417158-1,12035,3,1,1,,2005,May,5700,AADT,72 Hour Classification Count,110502,FL,6100,AADT,2007,1,2005,5,4,1,,12,2007,6000,0.0164
"The SR 40 Roundabout Construction Project from 0.095 miles west of SR 19 (M.P. 31.989) to
0.031 miles west of Lake County Line (M.P. 32.176",SR 40 ,2005,Flagler,0.186,3,2,1,,2005,12,Flagler,417158-1,12035,3,1,2,,2005,May,2200,AADT,72 Hour Classification Count,360411,FL,2400,AADT,2007,1,2005,5,4,1,,12,2007,1650,0.3125
"The SR 19 Traffic Operations Improvement Project on SR 19 at the Pittman Work Center Entrance from (M.P.
0.000) to (M.P. 1.100).",SR 19 ,2009,Lake ,1.1,4,12,1,,2009,12,Lake ,417380-1,12127,3,1,1,,2009,February,4700,AADT,72 Hour Classification Count,110297,FL,4700,AADT,2009,1,2009,5,4,1,,12,2009,5300,-0.1277
"The SR40 Traffic Ops Improvement Project from Ranger District & Work Center (M.P. 18.000) to
Lake George (M.P. 18.200).",SR40 T,2009,Marion ,0.2,3,12,1,,2009,12,Marion ,417378-1,12127,3,1,1,,2009,February,9700,AADT,72 Hour Classification Count,360004,FL,9700,AADT,2009,1,2009,5,4,1,,12,2009,7800,0.1959
"The SR 40 – Construction of a Roundabout Project on SR 40 from 0.266 mile west (M.P. 12.826) of SR 11 to
0.284 mile east (M.P. 13.413) of SR 12",SR 40 ,2005,Volusia ,0.587,3,2,1,,2005,12,Volusia ,417247-1,12127,3,1,2,,2005,june,3200,AADT,72 Hour Classification Count,790527,FL,3450,AADT,2007,1,2005,5,4,1,,12,2007,3100,0.1014
"The SR 46 Add Lanes & Reconstruction Project on SR 46 from 0.072 Mi. West of SR 500/US 441 (M.P.
0.603) to 0.129 Mi. West of RR Crossing (M.P. 4.583).",SR 46 ,2005,Lake ,3.98,3,4,3,,2005,12,Lake ,417165-1,12127,3,1,1,,2005,September,11900,AADT,72 Hour Classification Count,110501,FL,13200,AADT,2008,1,2005,5,5,1,Average of CFRPM III and Trend,12,2008,10500,0.2045
The SR 46 – Traffic Signals Project on SR 46 at I-95 Northbound Ramps from M.P. 5.866 to M.P. 5.867,SR 46 ,2005,Brevard ,0.001,3,2,3,Traffic Signal ,2005,12,Brevard ,417006-1,12127,3,1,1,,2005,March,8850,AADT,72 Hour Classification Count,700002,FL,9300,AADT,2007,1,2005,5,5,1,Conservative grwth rate based on model output,12,2007,9400,-0.0108
"The SR 35 – Traffic Signals Projec from 0.100 miles south of CR 462 East (M.P. 24.871) to CR 462 East
(M.P. 24.971).",SR 35 ,2005,Sumter ,0.1,3,2,4,Traffic Signal ,2005,12,Sumter ,416935-1,12127,3,1,1,,2005,December,3950,AADT,72 Hour Classification Count,180002,FL,4250,AADT,2008,1,2005,5,1,1,,12,2008,15100,-2.5529
The SR 423-Add Left Turn Lanes Project from SR 424 (M.P. 7.170) to M.P. 7.201,SR 423,2006,Orange ,0.031,4,4,3,,2006,12,Orange ,416893-1,12127,3,1,1,,2006,January,22600,AADT,72 Hour Classification Count,750638,FL,22900,AADT,2008,1,2006,5,4,1,,12,2008,37500,-0.6376
"The SR 200 – Add Left Turn Lane(s) Project from 0.212 Mile South of 165th Street (M.P. 3.612) to
0.205 Mile North of NE 165th Street (M.P. 4.029",SR 200,2006,Marion ,0.417,3,4,1,,2006,12,Marion ,416798-1,12127,3,1,1,,2006,February,14100,AADT,72 Hour Classification Count,360442,FL,14600,AADT,2008,1,2006,5,5,1,Conservative grwth rate based on model output,12,2008,13200,0.0959
The SR 5 Safety Project from Knapp St (M.P. 16.508) to Palmetto St (M.P. 16.774).,SR 5 S,2005,Volusia ,0.266,3,12,3,,2005,12,Volusia ,416773-1,12127,3,1,1,,2005,August,30400,AADT,72 Hour Classification Count,795168,FL,32700,AADT,2008,1,2005,5,4,1,,12,2008,28000,0.1437
"The SR 326 – Construct East & Westbound Left Turn Lanes & Install a Traffic Signal Project from
West Anthony Road (M.P. 1.186) to Left Turn Lane Signal (M.P. 1.190)",SR 326,2006,Marion ,0.004,4,4,3,,2006,12,Marion ,416753-1,12127,3,1,1,,2006,January,11900,AADT,72 Hour Classification Count,360486,FL,13100,AADT,2008,1,2006,5,1,1,,12,2008,10500,0.1985
"The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",SR 426,2005,Orange ,0.102,3,12,3,,2005,12,Orange ,416740-1,12127,3,1,1,,2005,June,40000,AADT,72 Hour Classification Count,750565,FL,44300,AADT,2008,1,2005,5,4,1,,12,2008,36000,0.1874
